intersection_id,timestep,q_n,q_s,q_e,q_w,w_n,w_s,w_e,w_w,phase,elapsed
i1,8,13.1,14.4,13.7,14.6,15.5,17.2,16.1,17.1,0,12
i2,8,15.2,14.0,15.6,16.9,18.6,16.1,18.9,20.4,0,9
i3,8,15.1,19.0,17.3,15.9,18.2,23.0,21.1,19.5,0,17
i4,8,15.9,22.1,19.4,16.0,20.5,27.7,23.7,19.1,0,16
i0,9,10.5,10.1,11.8,12.3,12.3,11.8,14.4,12.8,1,8
i1,9,13.6,15.6,14.9,15.4,15.3,20.4,18.1,18.1,0,13
i2,9,16.5,14.5,16.3,17.5,20.2,16.2,18.5,21.1,0,10
i3,9,15.8,18.5,19.7,18.0,18.2,21.6,25.6,21.9,0,18
i4,9,17.7,20.9,19.2,17.3,21.6,24.9,22.8,19.6,0,17
i0,10,10.5,10.4,12.3,14.3,12.1,13.7,13.5,17.4,1,9
i1,10,14.5,16.8,16.1,16.4,18.3,21.0,19.4,19.0,0,14
i2,10,18.2,13.5,16.6,18.5,21.9,16.8,21.2,22.3,0,11
i3,10,19.0,17.9,21.6,17.8,21.8,21.0,25.3,21.6,0,19
i4,10,19.9,19.9,19.4,17.7,24.6,24.9,22.2,24.3,0,18
i0,11,13.4,10.4,14.3,14.4,18.0,10.1,16.7,18.6,1,10
i1,11,14.1,17.2,17.9,17.4,17.0,20.7,20.2,21.3,0,15
i2,11,19.0,13.9,17.1,18.8,21.8,15.6,21.5,22.1,0,12
i3,11,18.4,18.4,21.6,19.4,21.3,21.7,27.0,24.4,0,20
i4,11,17.6,19.2,19.6,18.1,21.1,23.5,25.4,21.3,0,19
i0,12,12.4,12.8,15.1,14.0,13.6,13.5,18.7,18.0,1,11
i1,12,14.3,18.3,18.7,17.4,16.9,21.2,24.2,20.3,0,16
i2,12,18.5,16.1,18.2,17.5,21.5,18.3,21.3,21.3,0,13
i3,12,19.4,17.4,22.2,19.6,23.1,20.4,28.0,23.3,0,21
i4,12,18.5,18.3,21.9,18.3,23.6,23.2,24.7,22.0,0,20
i0,13,13.4,12.8,16.7,15.3,14.0,15.3,20.6,17.8,1,12
i1,13,15.0,18.6,18.3,18.7,19.2,22.3,22.7,23.4,0,17
i2,13,19.4,16.5,19.1,17.1,23.5,21.5,24.5,21.0,0,14
i3,13,17.9,18.4,20.0,19.5,20.1,22.1,25.4,21.9,0,22
i4,13,18.3,18.0,20.9,19.3,22.9,21.4,24.6,21.8,0,21
i0,14,14.0,13.9,17.9,14.5,17.2,16.8,19.9,15.7,1,13
i1,14,17.0,18.8,16.8,18.7,20.7,22.4,20.4,21.6,0,18
i2,14,19.7,16.8,19.0,19.5,23.1,19.7,23.3,23.1,0,15
i3,14,18.2,18.8,18.5,18.9,21.0,22.9,21.0,21.9,0,23
i4,14,18.1,17.6,20.2,19.9,18.9,19.7,23.5,26.5,0,22
i0,15,14.6,14.1,17.8,14.7,18.2,16.5,21.8,16.3,1,14
i1,15,18.3,17.8,16.4,18.4,23.1,20.5,19.3,23.1,0,19
i2,15,18.5,18.4,18.8,20.7,23.4,21.9,24.2,23.9,0,16
i3,15,19.9,18.2,17.9,21.1,25.5,23.9,22.5,24.1,0,24
i4,15,18.7,16.8,19.1,18.3,21.7,18.8,21.3,21.0,0,23
i0,16,16.0,15.7,17.9,16.0,20.9,19.6,22.2,18.7,1,15
i1,16,18.8,18.6,17.3,18.8,21.1,22.7,20.7,20.1,0,20
i2,16,18.9,19.7,20.0,20.6,23.6,23.8,21.7,25.6,0,17
i3,16,19.3,17.1,18.4,20.4,24.6,21.9,20.7,24.9,0,25
i4,16,16.7,17.6,18.6,17.4,20.1,20.4,22.7,22.9,0,24
i0,17,17.3,16.8,18.2,17.7,21.4,21.5,22.0,21.3,1,16
i1,17,18.7,19.3,19.2,18.2,20.7,23.4,22.6,21.8,0,21
i2,17,17.9,20.7,19.5,19.7,22.5,25.3,22.2,24.5,0,18
i3,17,17.9,17.6,17.9,20.6,20.6,20.9,22.7,24.7,0,26
i4,17,16.0,18.2,17.1,15.6,19.4,22.9,20.6,19.6,0,25
i0,18,17.8,18.5,17.8,20.4,23.1,23.0,21.7,24.7,1,17
i1,18,17.6,18.6,18.8,19.5,20.3,20.9,23.6,22.2,0,22
i2,18,18.6,20.7,20.6,19.9,22.9,24.0,24.8,22.6,0,19
i3,18,16.5,18.0,16.4,20.8,20.2,20.9,20.3,26.4,0,27
i4,18,16.1,18.1,15.6,16.5,20.9,22.0,18.9,20.8,0,26
i0,19,18.9,17.4,18.1,20.7,21.6,19.9,21.5,26.3,1,18
i1,19,17.8,20.2,20.0,20.6,19.9,24.4,25.0,25.0,0,23
i2,19,18.4,20.4,20.6,19.5,22.1,23.9,23.6,24.5,0,20
i3,19,15.5,17.2,16.2,20.6,19.4,19.6,18.0,24.0,0,28
i4,19,15.4,17.3,14.2,14.6,20.1,21.8,17.1,18.9,0,27
i0,20,18.7,18.7,19.0,20.2,20.3,22.3,21.9,25.5,1,19
i1,20,17.3,20.4,21.0,19.1,21.5,26.0,23.5,23.0,0,24
i2,20,17.3,19.6,18.5,18.5,21.0,23.8,21.4,22.5,0,21
i3,20,15.7,16.2,15.9,18.8,20.1,18.0,18.2,21.8,0,29
i4,20,14.3,14.6,13.5,13.3,16.6,17.6,16.6,16.1,0,28
i0,21,19.0,18.0,20.0,20.0,22.2,21.5,23.4,24.6,1,20
i1,21,17.8,18.5,20.0,20.3,21.0,23.8,22.8,22.5,0,25
i2,21,17.0,18.4,19.0,17.1,18.4,20.8,22.4,21.4,0,22
i3,21,14.1,14.0,14.2,16.7,16.1,17.2,16.6,20.5,0,30
i4,21,15.8,13.6,13.4,12.7,19.2,14.4,16.3,15.1,0,29
i0,22,20.0,19.4,21.6,18.6,24.5,24.2,24.6,23.1,1,21
i1,22,18.9,19.6,19.3,20.8,20.8,23.9,21.5,26.7,0,26
i2,22,17.2,18.4,16.6,15.8,21.1,22.7,18.6,17.4,0,23
i3,22,13.6,13.1,15.2,17.4,17.0,16.6,18.9,20.6,0,31
i4,22,14.3,13.1,12.4,12.7,19.4,16.1,15.7,14.0,0,30
i0,23,19.5,20.7,20.4,17.9,23.8,24.9,24.4,23.4,1,22
i1,23,17.5,18.7,19.4,20.6,21.3,21.4,24.9,26.1,0,27
i2,23,16.5,17.1,17.2,15.0,18.5,21.3,23.0,19.4,0,24
i3,23,14.3,11.6,13.8,15.6,17.9,13.8,18.3,18.9,0,32
i4,23,13.8,10.8,11.1,12.9,16.8,12.4,13.5,14.4,0,31
i0,24,18.0,20.0,19.2,18.4,21.7,24.3,24.1,21.6,1,23
i1,24,17.8,19.5,19.5,18.1,21.1,23.8,22.0,23.3,0,28
i2,24,14.2,16.8,15.9,14.9,17.5,18.6,20.3,18.5,0,25
i3,24,13.0,11.9,12.5,13.6,15.3,13.4,16.9,16.9,0,33
i4,24,13.9,12.5,10.8,11.1,17.2,13.6,13.5,13.2,0,32
i0,25,16.6,19.7,18.3,18.6,18.7,22.7,22.9,22.0,1,24
i1,25,16.3,17.9,17.8,18.9,18.6,21.5,20.6,22.4,0,29
i2,25,14.9,16.2,15.2,16.2,15.8,20.1,17.8,19.6,0,26
i3,25,10.7,12.2,13.0,12.6,12.3,12.4,14.4,13.8,0,34
i4,25,12.3,12.0,10.2,9.9,15.2,13.2,11.9,11.6,0,33
i0,26,19.2,18.0,16.7,20.4,22.4,20.7,19.6,23.6,1,25
i1,26,15.6,16.6,17.4,17.8,19.1,20.3,21.3,22.1,0,30
i2,26,13.5,15.5,14.2,14.0,16.8,19.2,15.9,16.6,0,27
i3,26,12.8,13.0,11.1,11.4,15.5,15.4,14.7,14.1,1,0
i4,26,10.1,10.3,8.7,8.8,13.2,12.1,11.0,9.1,0,34
i0,27,18.8,18.5,16.5,18.6,22.2,20.6,21.5,20.2,1,26
i1,27,16.1,15.3,16.3,17.2,19.1,19.3,19.0,20.1,0,31
i2,27,12.9,15.1,14.5,12.9,14.6,18.1,19.8,15.8,0,28
i3,27,10.7,12.9,11.5,10.6,11.6,15.7,14.4,11.9,1,1
i4,27,9.2,9.0,8.7,9.8,12.1,11.3,10.5,11.0,1,0
i0,28,18.6,20.2,16.7,18.9,22.3,23.6,18.9,22.6,1,27
i1,28,15.7,15.3,15.2,15.7,18.4,18.0,19.9,18.7,0,32
i2,28,13.0,13.3,12.8,11.9,14.3,13.5,13.8,13.4,0,29
i3,28,9.0,12.5,11.3,9.3,10.6,13.7,14.2,12.4,1,2
i4,28,7.1,10.0,9.9,9.4,8.3,12.5,11.5,10.3,1,1
i0,29,16.0,18.3,16.7,18.6,18.6,20.9,19.8,22.9,1,28
i1,29,14.8,15.2,13.2,13.6,18.0,18.9,15.2,16.1,0,33
i2,29,12.5,12.9,11.3,12.4,15.2,14.7,14.6,15.9,0,30
i3,29,9.6,10.0,10.0,10.2,10.9,12.9,12.0,13.4,1,3
i4,29,8.3,9.4,10.4,8.2,9.4,10.2,12.3,9.6,1,2
i0,30,15.6,18.6,16.6,17.4,20.6,21.5,19.3,21.0,1,29
i1,30,14.2,12.3,13.9,12.1,19.1,13.9,17.6,16.4,0,34
i2,30,13.8,12.4,9.9,12.2,16.7,14.8,11.4,14.4,0,31
i3,30,9.5,10.0,8.5,9.2,11.6,12.5,10.8,12.0,1,4
i4,30,8.5,7.3,8.2,9.7,11.7,7.6,9.4,11.6,1,3
i0,31,14.4,17.9,16.3,17.7,18.1,21.2,19.5,21.1,1,30
i1,31,11.9,12.3,13.7,10.9,14.0,13.9,18.1,14.6,1,0
i2,31,13.3,11.9,11.2,10.5,14.9,13.9,12.0,12.3,0,32
i3,31,9.7,7.8,9.2,8.4,11.3,9.2,9.9,9.7,1,5
i4,31,7.6,7.8,8.4,8.5,7.3,9.2,8.9,10.5,1,4
i0,32,13.8,15.9,14.4,15.3,16.3,18.9,17.1,18.7,1,31
i1,32,12.5,13.5,13.4,9.5,16.4,16.0,13.3,12.9,1,1
i2,32,12.4,10.9,9.1,9.1,14.5,13.6,9.7,10.6,0,33
i3,32,8.4,7.8,9.6,7.3,10.4,8.7,11.1,9.4,1,6
i4,32,7.5,9.1,7.9,8.0,9.1,11.4,10.8,9.9,1,5
i0,33,13.0,13.9,14.3,14.2,14.8,16.7,17.8,15.6,1,32
i1,33,12.4,11.6,12.7,9.0,14.8,14.3,17.2,10.1,1,2
i2,33,11.1,10.1,9.6,7.2,12.9,13.1,12.1,9.4,0,34
i3,33,7.2,7.3,7.3,7.3,9.9,8.5,9.3,9.3,1,7
i4,33,8.5,8.4,8.8,8.3,9.6,8.9,11.0,9.5,1,6
i0,34,11.2,12.3,13.1,13.4,15.8,13.8,18.6,18.7,1,33
i1,34,11.2,10.3,11.7,8.4,12.5,12.2,14.0,11.3,1,3
i2,34,9.9,9.8,8.1,7.7,11.2,11.5,10.2,9.9,1,0
i3,34,7.3,7.2,7.7,6.7,7.9,7.4,9.2,9.9,1,8
i4,34,8.3,7.6,7.7,6.7,11.0,8.5,9.0,7.8,1,7
i0,35,12.2,12.0,11.6,12.2,14.6,14.3,13.0,14.6,1,34
i1,35,9.2,8.8,10.8,8.4,10.3,10.4,13.1,10.1,1,4
i2,35,8.3,7.8,8.3,8.2,8.1,9.1,9.9,10.8,1,1
i3,35,7.4,4.9,8.7,6.2,9.9,4.6,11.3,8.0,1,9
i4,35,7.5,7.5,6.8,5.7,9.3,8.7,7.9,6.8,1,8
i0,36,13.3,11.2,11.3,11.6,15.7,13.3,14.3,13.5,0,0
i1,36,9.3,7.4,10.1,9.1,11.7,8.0,12.8,10.4,1,5
i2,36,7.6,8.3,6.8,8.7,9.6,9.2,8.5,8.0,1,2
i3,36,7.4,5.9,8.6,7.2,7.5,7.7,10.1,8.3,1,10
i4,36,5.6,6.8,8.1,4.4,6.5,8.6,10.6,5.3,1,9
i0,37,12.4,11.2,10.5,10.9,14.6,13.8,11.9,12.6,0,1
i1,37,9.0,7.6,9.2,9.2,11.3,10.0,11.6,11.7,1,6
i2,37,7.3,7.8,6.7,8.8,7.8,8.4,8.2,11.0,1,3
i3,37,8.6,6.7,7.4,7.8,12.0,6.0,9.5,10.0,1,11
i4,37,5.9,8.1,7.8,3.9,6.4,9.4,8.0,6.0,1,10
i0,38,11.4,9.5,9.0,8.6,12.2,11.8,10.0,10.6,0,2
i1,38,6.9,6.9,8.1,9.9,7.9,6.6,12.5,13.3,1,7
i2,38,6.8,6.4,5.6,7.6,9.1,6.9,6.4,8.8,1,4
i3,38,6.8,7.1,9.0,6.4,8.2,5.9,10.7,7.7,1,12
i4,38,6.9,6.8,6.5,4.9,7.3,7.5,7.7,6.1,1,11
i0,39,11.3,9.3,8.9,9.1,13.9,12.3,9.6,11.1,0,3
i1,39,6.2,8.1,9.5,7.7,8.9,12.2,11.4,9.9,1,8
i2,39,7.9,6.6,6.0,6.3,10.8,8.2,7.6,8.8,1,5
i3,39,6.9,8.3,8.0,8.1,8.6,10.8,8.8,9.9,1,13
i4,39,6.3,5.4,5.3,6.1,6.2,5.2,6.1,6.5,1,12
i0,40,9.9,9.3,9.0,7.7,11.4,11.4,10.3,9.7,0,4
i1,40,5.1,3.9,7.9,8.3,5.8,4.8,9.4,10.1,1,9
i2,40,9.1,6.9,5.5,6.4,10.5,8.3,8.3,8.0,1,6
i3,40,7.2,7.3,7.1,6.6,9.0,9.1,8.8,6.1,1,14
i4,40,6.9,6.7,3.6,7.8,8.3,7.2,5.4,9.4,1,13
i0,41,9.9,8.4,8.0,6.9,10.9,11.4,9.2,7.8,0,5
i1,41,6.2,5.1,7.9,7.3,7.2,5.3,9.3,10.7,1,10
i2,41,8.8,8.8,4.2,7.2,12.0,12.0,5.0,10.2,1,7
i3,41,6.1,5.9,6.2,6.5,5.9,5.5,8.4,8.5,1,15
i4,41,8.5,7.3,4.5,6.3,10.1,7.7,4.9,6.8,0,0
i0,42,10.0,9.0,8.5,6.6,10.9,10.2,9.3,8.0,0,6
i1,42,6.0,7.0,7.4,6.7,9.7,8.4,9.3,9.5,1,11
i2,42,9.3,10.2,5.9,7.7,11.7,11.9,6.4,9.8,0,0
i3,42,5.5,4.6,6.7,7.1,6.5,5.4,7.4,6.8,1,16
i4,42,8.4,7.5,5.5,7.2,10.5,8.6,6.8,7.0,0,1
i0,43,11.9,9.5,8.8,6.5,13.9,11.0,9.3,8.6,0,7
i1,43,6.0,8.2,6.3,6.9,7.7,10.5,8.7,8.9,1,12
i2,43,7.2,7.9,5.4,8.0,7.0,9.4,6.4,9.9,0,1
i3,43,5.5,4.9,6.0,5.3,8.9,5.7,8.5,7.8,1,17
i4,43,7.3,5.8,6.3,7.3,8.7,7.2,9.2,9.4,0,2
i0,44,9.7,8.2,7.8,5.7,11.5,10.7,8.7,6.8,0,8
i1,44,5.4,7.9,5.6,7.9,6.2,7.6,7.1,9.6,1,13
i2,44,6.8,6.7,4.3,8.8,8.0,7.5,6.3,10.2,0,2
i3,44,4.7,5.9,5.6,5.4,7.4,7.4,6.7,6.8,1,18
i4,44,6.1,7.1,7.0,6.6,7.3,9.0,7.0,7.2,0,3
i0,45,9.8,9.0,8.4,6.1,13.6,10.0,8.0,6.6,0,9
i1,45,4.8,8.0,5.1,8.2,3.6,9.6,6.9,11.5,1,14
i2,45,7.5,7.4,6.2,8.7,9.7,8.9,6.7,10.1,0,3
i3,45,4.3,5.2,5.5,5.6,5.2,6.4,6.0,7.1,1,19
i4,45,7.3,6.7,7.9,6.3,9.7,8.8,9.6,8.7,0,4
i0,46,11.2,7.9,7.9,5.4,11.6,11.4,9.9,6.7,0,10
i1,46,6.9,8.5,5.2,8.3,7.6,11.8,5.7,8.4,1,15
i2,46,7.6,7.6,5.3,8.6,8.1,9.3,3.8,9.7,0,4
i3,46,5.9,6.1,7.3,5.2,8.9,7.8,8.6,6.6,1,20
i4,46,8.3,6.3,10.3,7.4,8.4,8.1,12.4,10.0,0,5
i0,47,9.4,8.4,7.6,5.2,10.3,9.0,8.4,5.9,0,11
i1,47,6.6,9.4,5.4,7.5,7.8,11.5,5.9,9.1,1,16
i2,47,5.9,7.3,5.1,8.6,6.7,10.8,7.5,10.6,0,5
i3,47,7.0,6.5,7.9,6.4,9.3,7.0,8.3,6.4,1,21
i4,47,6.4,6.3,9.0,7.7,7.2,8.0,10.5,9.9,0,6
i0,48,8.2,9.9,6.2,6.7,11.0,12.7,7.2,9.9,0,12
i1,48,6.5,8.8,5.0,7.8,8.2,10.0,4.5,8.4,1,17
i2,48,4.2,8.0,5.8,7.6,7.1,9.4,6.1,9.2,0,6
i3,48,7.0,7.4,7.8,6.8,9.5,10.0,11.0,7.2,1,22
i4,48,7.3,5.4,7.6,7.3,7.1,8.2,8.8,9.0,0,7
i0,49,7.9,11.0,4.5,6.0,11.0,12.9,7.0,6.4,0,13
i1,49,7.6,8.9,4.9,5.3,10.1,10.4,8.5,6.3,0,0
i2,49,5.8,7.7,7.3,7.5,6.9,8.5,9.4,8.9,0,7
i3,49,7.2,6.3,7.7,7.7,9.3,7.9,9.3,9.3,1,23
i4,49,8.3,7.3,7.9,7.7,8.0,9.0,8.6,8.0,0,8
i0,50,7.8,9.2,6.3,6.5,8.2,12.2,5.5,7.2,0,14
i1,50,8.4,7.2,6.8,7.6,10.3,9.0,8.3,9.7,0,1
i2,50,4.8,6.9,7.8,8.3,6.1,7.8,8.7,10.8,1,0
i3,50,8.6,6.4,8.3,8.2,10.8,7.0,9.0,10.5,1,24
i4,50,8.6,7.9,8.5,8.4,9.6,9.6,10.2,10.4,0,9
i0,51,6.2,9.1,4.6,5.4,8.4,9.4,4.4,7.1,0,15
i1,51,7.6,6.8,8.5,6.3,10.6,7.1,9.6,6.3,0,2
i2,51,7.1,9.8,8.3,9.0,9.6,11.7,11.4,10.8,1,1
i3,51,8.4,7.1,9.3,8.6,9.9,9.6,12.4,9.1,1,25
i4,51,8.4,8.9,10.6,7.5,11.2,10.1,13.4,9.5,0,10
i0,52,5.7,8.3,4.6,6.2,7.7,11.0,5.4,7.2,0,16
i1,52,7.3,8.2,8.1,7.5,8.5,10.6,8.2,9.1,0,3
i2,52,9.1,11.7,8.0,9.5,10.5,13.5,10.0,13.2,1,2
i3,52,7.4,7.4,9.1,9.6,10.2,10.3,11.1,11.4,1,26
i4,52,11.3,9.6,10.6,8.2,14.1,10.5,12.4,9.5,0,11
i0,53,6.5,7.3,4.8,6.5,9.1,7.7,5.5,7.0,0,17
i1,53,7.4,6.0,7.4,6.7,8.7,7.3,9.2,6.4,0,4
i2,53,10.0,9.5,8.5,8.7,13.4,11.1,9.3,10.9,1,3
i3,53,8.6,7.9,9.0,10.9,9.3,7.8,9.8,14.1,1,27
i4,53,11.1,11.0,11.9,9.4,12.8,11.2,14.1,11.8,0,12
i0,54,5.0,6.1,4.2,5.1,4.1,4.5,5.0,7.2,0,18
i1,54,7.5,5.3,8.9,8.0,9.5,4.2,10.1,8.6,0,5
i2,54,9.0,9.2,9.1,10.2,10.9,10.4,10.5,11.4,1,4
i3,54,10.2,8.2,9.1,11.7,12.9,8.9,11.8,13.1,1,28
i4,54,12.1,11.8,12.3,11.0,14.9,13.7,15.1,14.2,0,13
i0,55,4.0,6.2,3.5,5.1,5.4,8.7,5.0,6.1,0,19
i1,55,7.2,5.2,8.3,6.8,6.5,7.7,9.8,8.3,0,6
i2,55,10.1,9.8,9.0,8.8,12.1,13.3,10.5,11.0,1,5
i3,55,11.1,11.1,10.6,10.7,12.2,15.1,13.6,12.8,1,29
i4,55,12.9,15.0,13.1,13.6,16.6,19.2,15.2,16.0,0,14
i0,56,5.4,7.8,5.6,7.9,5.7,8.1,8.2,9.7,0,20
i1,56,7.6,5.4,9.8,6.6,8.3,5.2,11.6,9.3,0,7
i2,56,11.9,11.4,9.9,9.9,14.5,14.4,11.2,11.8,1,6
i3,56,11.0,12.5,13.4,11.5,12.2,13.1,16.8,12.5,1,30
i4,56,14.3,14.5,14.6,16.9,16.8,18.5,18.0,20.6,0,15
i0,57,6.6,7.2,5.8,7.6,8.8,7.5,7.4,9.9,0,21
i1,57,7.9,6.4,9.2,7.6,9.3,8.7,12.1,7.7,0,8
i2,57,10.1,12.7,12.0,11.3,10.6,14.3,14.1,13.0,1,7
i3,57,12.2,13.9,12.4,14.3,15.4,17.4,15.6,17.4,1,31
i4,57,16.0,13.7,14.3,17.4,18.6,17.5,17.0,20.5,0,16
i0,58,6.3,8.1,6.8,5.6,8.9,10.2,9.2,8.3,0,22
i1,58,7.7,8.3,11.6,8.7,8.6,9.2,14.0,11.5,0,9
i2,58,10.1,12.2,13.1,11.2,11.0,15.3,16.2,13.4,1,8
i3,58,11.9,15.0,14.6,14.7,14.9,18.2,16.3,18.0,1,32
i4,58,15.6,13.5,16.8,18.3,20.0,13.9,19.8,23.1,0,17
i0,59,6.7,8.7,5.9,7.7,8.9,12.6,6.2,9.9,0,23
i1,59,7.4,9.9,11.4,7.9,7.5,12.3,14.2,9.3,0,10
i2,59,10.5,14.1,12.6,10.7,13.2,18.1,15.1,12.3,1,9
i3,59,13.4,15.1,15.6,15.1,15.7,20.7,19.8,17.9,1,33
i4,59,17.4,13.5,18.3,17.9,22.2,15.6,22.4,22.8,0,18
i0,60,8.0,6.2,4.6,7.4,9.4,7.9,4.8,9.8,0,24
i1,60,7.5,10.3,11.0,8.2,8.8,12.3,14.1,11.0,0,11
i2,60,13.1,14.9,14.6,11.0,15.7,17.6,17.7,12.8,1,10
i3,60,14.0,15.2,15.5,14.4,16.5,19.7,19.5,16.8,1,34
i4,60,18.5,15.9,19.0,16.8,23.5,17.7,24.1,19.3,0,19
i0,61,7.0,6.4,4.3,8.5,8.1,7.1,5.7,11.3,0,25
i1,61,9.2,10.5,10.8,10.2,11.4,13.1,12.8,12.5,0,12
i2,61,13.8,13.9,14.0,11.6,16.7,17.3,17.9,14.4,1,11
i3,61,15.2,16.6,17.0,15.7,18.3,18.7,22.3,18.8,0,0
i4,61,18.9,16.0,19.1,15.4,22.3,18.4,25.0,17.3,0,20
i0,62,8.3,9.2,5.7,8.4,12.0,11.6,7.3,11.2,0,26
i1,62,10.5,11.6,11.7,9.5,13.3,13.1,15.0,12.2,0,13
i2,62,12.0,13.5,14.8,14.0,14.2,16.6,19.4,17.4,1,12
i3,62,15.3,17.9,17.7,16.5,17.8,20.4,20.4,18.7,0,1
i4,62,18.2,16.8,19.4,16.2,23.3,21.0,22.4,19.8,0,21
i0,63,8.2,9.5,7.7,7.6,10.8,12.6,10.8,8.2,0,27
i1,63,10.8,12.6,12.1,11.5,10.6,14.6,14.0,15.4,0,14
i2,63,13.4,14.6,15.2,16.6,16.3,18.1,18.8,18.1,1,13
i3,63,15.6,18.8,17.6,17.6,18.5,21.4,20.9,21.6,0,2
i4,63,18.3,15.9,20.2,16.6,20.8,18.4,23.7,20.6,0,22
i0,64,9.4,10.9,8.2,8.8,11.1,11.0,8.9,10.8,0,28
i1,64,12.9,14.6,12.2,13.7,15.3,19.6,15.0,16.6,0,15
i2,64,15.4,16.4,16.1,16.9,15.0,18.7,17.6,20.6,1,14
i3,64,17.0,17.9,18.9,17.7,18.9,21.5,23.7,19.8,0,3
i4,64,18.3,16.5,22.3,15.2,21.9,18.7,26.3,18.8,0,23
i0,65,10.4,11.7,11.6,10.5,12.2,14.1,14.8,12.5,0,29
i1,65,12.8,14.1,14.3,15.8,14.4,18.0,17.8,17.9,0,16
i2,65,16.9,16.6,16.5,16.9,19.7,19.9,20.0,20.6,1,15
i3,65,17.2,19.4,18.8,19.9,20.4,22.2,21.9,24.0,0,4
i4,65,20.4,17.6,21.0,16.3,24.2,21.0,25.2,20.2,0,24
i0,66,11.8,12.3,11.1,11.9,11.2,15.7,13.7,13.8,0,30
i1,66,13.4,13.8,16.5,17.4,15.5,17.5,19.2,20.5,0,17
i2,66,17.7,19.2,16.8,18.0,19.9,23.2,21.9,22.0,1,16
i3,66,17.8,19.4,17.6,19.7,20.6,22.3,20.9,23.9,0,5
i4,66,19.6,17.0,20.7,15.8,23.4,20.0,25.6,19.8,0,25
i0,67,14.5,14.6,12.3,11.3,17.0,17.3,16.2,13.6,0,31
i1,67,13.9,15.2,16.2,17.2,16.1,18.8,18.7,19.1,0,18
i2,67,18.3,19.0,17.1,19.0,21.5,21.2,21.4,21.6,1,17
i3,67,17.6,19.0,19.2,20.3,20.6,21.3,24.4,26.5,0,6
