intersection_id,timestep,q_n,q_s,q_e,q_w,w_n,w_s,w_e,w_w,phase,elapsed
i2,8,3.5,4.8,7.1,5.2,4.3,6.4,8.4,5.4,1,1
i3,8,6.2,6.7,6.4,7.0,9.5,9.5,8.5,7.9,0,17
i4,8,8.6,5.4,7.0,5.8,11.2,6.5,7.8,6.7,0,16
i5,8,6.2,7.0,5.2,8.7,7.3,10.6,6.9,9.9,1,8
i6,8,7.7,8.9,7.6,8.1,8.8,10.9,9.8,10.8,0,13
i0,9,4.3,6.2,3.4,6.0,6.9,9.2,3.8,7.1,1,9
i1,9,7.4,4.2,4.6,4.8,9.7,4.4,5.6,5.1,0,13
i2,9,5.3,5.4,6.3,5.5,7.8,5.7,7.6,8.3,1,2
i3,9,6.3,6.0,6.9,4.6,7.4,7.5,7.9,5.6,0,18
i4,9,7.6,5.8,8.2,5.8,9.5,7.0,10.2,6.0,0,17
i5,9,6.4,6.1,6.5,9.2,6.6,6.8,8.7,10.9,1,9
i6,9,7.7,8.4,7.7,7.8,9.0,11.5,8.7,8.5,0,14
i0,10,4.3,6.2,3.0,5.9,6.4,8.2,6.2,6.1,1,10
i1,10,6.3,5.7,4.8,3.7,9.2,7.5,5.8,5.4,0,14
i2,10,6.5,4.7,6.6,5.5,8.2,7.6,8.8,7.6,1,3
i3,10,6.9,7.0,6.8,6.0,8.0,9.6,8.0,6.9,0,19
i4,10,8.7,7.0,7.8,5.5,11.5,8.7,10.9,6.7,0,18
i5,10,7.7,5.7,7.8,8.3,9.3,8.5,9.2,9.9,1,10
i6,10,7.4,7.7,7.0,6.9,8.8,9.1,7.8,9.0,0,15
i0,11,4.5,6.9,4.2,4.6,3.9,8.3,5.5,5.2,0,0
i1,11,5.8,5.1,5.3,4.5,8.8,6.0,6.3,3.4,0,15
i2,11,6.9,5.6,7.1,5.5,8.1,6.1,9.7,5.2,1,4
i3,11,7.4,7.9,5.6,6.5,10.0,8.3,6.7,8.9,0,20
i4,11,10.1,7.8,9.1,6.9,12.0,8.6,12.2,8.3,0,19
i5,11,7.7,6.6,7.8,8.5,9.0,8.9,11.2,10.1,1,11
i6,11,9.2,7.0,8.2,8.2,12.0,8.0,9.7,9.3,0,16
i0,12,4.8,6.2,5.6,6.0,6.1,8.3,7.5,7.0,0,1
i1,12,7.4,6.2,5.9,5.4,9.2,7.6,8.8,6.9,0,16
i2,12,7.3,6.1,6.2,5.1,9.3,6.7,8.5,7.0,1,5
i3,12,7.4,6.7,5.6,6.8,8.4,8.5,6.6,7.6,0,21
i4,12,9.5,8.7,9.2,6.4,10.7,13.2,10.6,7.8,0,20
i5,12,7.9,6.1,7.1,8.3,9.3,7.8,8.4,11.1,1,12
i6,12,9.6,8.0,9.0,9.0,12.2,9.7,12.3,12.0,0,17
i0,13,4.7,5.4,6.0,6.4,5.9,5.1,7.1,5.9,0,2
i1,13,6.5,5.8,5.5,6.9,7.2,8.3,5.6,8.0,0,17
i2,13,6.3,5.8,6.2,5.7,7.8,7.8,7.5,6.5,1,6
i3,13,7.5,6.7,6.2,6.8,9.4,7.8,7.1,8.9,0,22
i4,13,9.4,7.9,9.1,7.9,11.5,9.3,10.9,9.1,0,21
i5,13,8.4,6.9,7.9,7.9,10.4,8.4,9.0,10.5,1,13
i6,13,10.4,9.3,10.1,10.3,13.4,12.3,12.4,12.0,0,18
i0,14,4.5,6.8,6.2,6.4,4.7,8.0,7.5,7.2,0,3
i1,14,6.6,6.6,4.5,6.7,8.6,7.8,4.8,7.9,0,18
i2,14,6.5,6.4,7.2,6.8,8.7,7.6,8.8,7.0,1,7
i3,14,7.2,7.4,5.5,6.6,9.1,8.3,6.9,6.9,0,23
i4,14,8.8,7.3,7.6,7.7,11.8,9.5,9.3,10.2,0,22
i5,14,9.6,8.4,9.7,9.8,12.7,9.6,11.2,12.2,1,14
i6,14,9.8,9.9,9.9,11.1,12.4,12.6,13.7,14.9,0,19
i0,15,5.5,6.4,6.9,6.2,7.3,8.6,8.5,8.6,0,4
i1,15,7.0,5.9,5.4,6.1,8.6,6.2,8.1,6.7,0,19
i2,15,7.1,7.2,7.5,7.0,9.5,8.7,8.4,9.7,1,8
i3,15,6.8,7.0,5.4,6.2,8.0,9.3,7.0,8.3,0,24
i4,15,9.0,8.2,9.2,9.2,12.1,8.8,12.2,11.7,0,23
i5,15,9.6,9.2,9.4,9.8,11.2,11.8,11.5,11.7,1,15
i6,15,10.5,10.0,10.2,11.0,13.5,11.8,14.9,13.0,0,20
i0,16,5.6,6.5,7.1,6.0,7.0,9.3,9.6,6.8,0,5
i1,16,8.2,5.9,5.3,6.3,8.5,8.1,6.8,8.7,0,20
i2,16,7.2,7.8,9.4,7.1,10.4,9.1,10.9,7.7,1,9
i3,16,7.8,6.8,7.3,6.8,10.3,8.8,9.6,7.6,0,25
i4,16,8.3,9.1,9.4,9.2,10.0,11.5,12.6,10.9,0,24
i5,16,10.6,10.1,9.8,10.9,13.1,12.3,12.5,13.6,1,16
i6,16,10.7,11.3,11.1,9.6,13.4,14.3,14.1,11.3,0,21
i0,17,5.0,5.6,7.0,5.2,6.9,8.2,7.5,6.8,0,6
i1,17,6.6,7.2,5.6,6.8,10.0,9.5,4.6,8.3,0,21
i2,17,6.9,7.3,9.2,7.0,9.2,9.7,12.5,7.9,1,10
i3,17,8.0,7.6,6.9,6.6,10.0,9.2,7.4,7.4,0,26
i4,17,8.3,10.2,10.1,9.3,10.2,12.9,13.1,11.1,0,25
i5,17,11.2,11.2,11.2,11.5,13.2,12.2,14.7,15.2,1,17
i6,17,11.4,13.0,12.1,10.0,13.4,14.5,14.2,13.5,0,22
i0,18,4.7,6.0,7.2,4.9,5.1,8.2,9.0,6.7,0,7
i1,18,6.2,8.2,5.8,6.5,8.4,9.7,8.3,8.8,0,22
i2,18,6.8,7.5,7.6,6.7,9.5,8.9,9.8,7.5,1,11
i3,18,8.7,9.2,8.1,7.6,9.8,11.1,10.7,9.9,0,27
i4,18,9.5,9.5,10.0,10.0,10.7,12.2,11.6,13.9,0,26
i5,18,10.8,13.3,11.3,12.0,13.8,17.0,13.6,16.1,1,18
i6,18,13.0,13.3,13.6,11.0,15.9,17.6,16.5,13.7,0,23
i0,19,5.4,5.1,5.8,4.4,7.0,6.4,6.6,4.7,0,8
i1,19,5.2,7.8,5.7,7.9,5.1,9.9,6.9,9.3,0,23
i2,19,7.3,7.5,8.6,7.7,9.0,7.8,11.2,9.6,1,12
i3,19,9.1,9.6,8.8,8.6,10.5,12.7,11.0,12.4,0,28
i4,19,10.5,9.4,9.6,9.8,13.1,11.9,12.9,11.9,0,27
i5,19,11.6,13.3,11.1,11.5,13.0,16.3,12.4,15.1,1,19
i6,19,12.5,14.0,13.6,12.0,14.3,17.5,16.6,17.4,0,24
i0,20,5.4,5.8,5.6,5.3,7.1,8.2,6.8,6.6,0,9
i1,20,6.4,7.3,5.3,8.2,9.3,11.2,6.6,9.6,0,24
i2,20,8.2,7.0,9.3,8.1,11.3,8.6,12.0,8.9,1,13
i3,20,9.1,8.9,8.1,7.9,11.0,10.9,9.4,9.1,0,29
i4,20,10.6,9.8,10.2,10.6,14.0,13.2,11.6,14.0,0,28
i5,20,12.2,13.1,12.3,12.6,14.6,16.3,16.2,17.3,1,20
i6,20,13.7,13.6,13.1,12.6,17.1,18.0,16.7,17.9,0,25
i0,21,6.2,7.2,6.3,5.9,7.7,9.4,7.5,6.7,0,10
i1,21,7.2,7.6,6.3,7.3,8.4,9.7,7.3,9.2,0,25
i2,21,7.1,7.0,8.1,9.1,7.8,8.5,10.9,11.6,1,14
i3,21,9.1,9.2,7.4,8.6,12.0,10.9,9.9,12.7,0,30
i4,21,11.5,10.4,10.0,9.4,14.8,12.7,12.9,11.4,0,29
i5,21,12.8,13.5,13.1,13.1,17.0,16.9,18.2,17.8,1,21
i6,21,16.0,13.8,14.3,13.5,20.4,17.6,17.3,17.0,0,26
i0,22,7.6,6.5,6.2,5.7,9.9,7.3,8.8,7.7,0,11
i1,22,7.7,7.9,7.1,5.9,9.2,11.1,10.0,7.5,0,26
i2,22,7.3,8.1,8.3,8.8,9.0,10.5,11.0,10.7,1,15
i3,22,9.0,9.9,7.4,9.1,10.3,12.6,9.0,10.9,0,31
i4,22,12.8,10.9,10.5,11.1,16.9,14.0,12.1,13.8,0,30
i5,22,14.0,13.6,14.5,14.3,17.8,16.2,17.2,17.8,1,22
i6,22,16.9,14.0,15.2,13.7,21.8,17.7,21.4,18.1,0,27
i0,23,7.5,6.7,6.5,4.6,8.9,7.7,8.9,5.7,0,12
i1,23,7.3,8.1,6.5,5.8,9.6,11.0,6.9,7.0,0,27
i2,23,7.9,8.7,7.6,8.0,9.9,11.6,9.2,11.9,1,16
i3,23,9.2,9.7,7.3,9.9,11.7,12.2,8.1,11.7,0,32
i4,23,13.7,11.6,12.6,12.3,16.8,15.9,15.7,14.7,0,31
i5,23,13.5,14.5,15.8,15.2,18.7,18.9,21.0,17.8,1,23
i6,23,16.4,14.2,16.1,14.4,20.1,18.0,19.2,18.9,0,28
i0,24,6.9,7.6,5.7,3.9,8.2,9.3,7.1,5.4,0,13
i1,24,5.9,8.0,6.5,7.3,6.1,9.0,8.6,10.4,0,28
i2,24,7.5,8.3,9.0,9.4,9.8,10.3,12.2,11.7,1,17
i3,24,10.7,11.7,7.6,10.5,13.0,15.1,8.6,13.0,0,33
i4,24,15.5,11.7,12.9,12.7,19.5,15.1,16.0,17.7,0,32
i5,24,13.6,15.6,16.2,14.9,16.8,18.9,21.2,16.7,1,24
i6,24,16.2,16.7,17.9,14.9,19.1,20.6,22.6,18.7,0,29
i0,25,6.4,6.3,6.2,5.9,8.9,7.9,7.0,8.2,0,14
i1,25,5.7,7.7,7.5,8.1,6.8,11.8,10.8,10.3,0,29
i2,25,6.9,8.7,9.6,10.4,8.9,10.3,11.4,13.5,1,18
i3,25,11.1,12.0,7.5,9.5,13.9,14.6,8.6,12.6,0,34
i4,25,15.2,13.3,13.1,12.0,19.8,17.2,16.9,15.1,0,33
i5,25,14.1,15.9,17.7,15.4,19.4,20.3,21.3,21.1,1,25
i6,25,16.0,16.7,18.5,17.3,18.7,22.0,22.5,22.8,0,30
i0,26,8.8,5.9,6.7,6.2,10.3,8.5,9.1,7.5,0,15
i1,26,6.4,9.7,7.5,8.4,7.5,11.1,10.3,11.1,0,30
i2,26,7.1,9.5,8.8,9.8,8.9,11.9,10.7,13.0,1,19
i3,26,11.8,12.9,8.4,10.8,15.7,16.7,10.1,14.2,0,35
i4,26,15.6,15.1,13.5,12.5,19.2,19.2,16.6,16.5,0,34
i5,26,15.7,16.3,18.1,16.9,19.2,20.1,23.2,21.5,1,26
i6,26,17.2,16.3,19.1,17.2,21.9,20.3,23.0,23.3,0,31
i0,27,9.2,7.1,7.8,6.3,11.5,9.7,10.1,7.1,0,16
i1,27,8.0,8.7,7.1,8.8,9.8,10.0,8.6,12.2,0,31
i2,27,7.5,9.9,8.9,9.0,9.5,12.1,12.0,11.2,1,20
i3,27,12.2,13.0,8.9,11.9,14.1,16.0,12.3,15.6,0,36
i4,27,14.9,15.0,14.6,13.5,19.5,18.6,18.9,16.9,0,35
i5,27,15.9,16.0,18.0,16.5,19.1,20.0,22.9,20.7,1,27
i6,27,18.1,19.0,20.0,18.0,21.7,23.8,23.9,23.0,0,32
i0,28,9.3,7.2,7.5,6.5,12.2,8.9,9.6,8.5,0,17
i1,28,7.0,9.5,8.8,9.0,8.4,11.5,10.3,10.8,0,32
i2,28,8.2,9.2,9.9,9.5,9.8,12.3,12.3,13.5,1,21
i3,28,11.9,12.3,9.7,12.0,15.4,14.2,11.8,16.1,0,37
i4,28,15.6,15.9,16.1,13.9,20.0,20.5,20.6,18.4,0,36
i5,28,15.8,17.3,18.1,17.6,20.5,21.9,23.1,22.0,1,28
i6,28,17.8,19.0,19.4,18.4,22.4,23.8,24.3,22.3,0,33
i0,29,9.8,8.4,6.8,6.9,13.3,11.4,8.8,7.9,0,18
i1,29,7.7,8.7,9.2,8.6,8.7,13.8,10.8,11.0,0,33
i2,29,8.8,10.5,11.6,9.6,10.7,12.0,14.7,12.4,1,22
i3,29,13.0,13.4,11.7,13.2,16.1,17.4,16.1,14.7,0,38
i4,29,15.6,16.5,16.3,14.6,19.9,20.2,20.0,16.8,0,37
i5,29,16.0,17.5,19.0,17.9,20.3,21.6,23.1,22.3,1,29
i6,29,18.9,19.8,20.5,18.2,22.5,25.1,25.4,23.0,0,34
i0,30,9.2,8.5,8.5,7.9,10.7,10.3,10.0,10.9,0,19
i1,30,8.7,8.6,10.9,9.1,11.4,10.6,13.5,11.0,0,34
i2,30,9.4,11.1,11.3,10.8,12.2,14.6,13.7,14.7,1,23
i3,30,14.5,13.8,12.5,14.7,19.4,17.3,16.6,16.2,0,39
i4,30,16.1,17.4,16.3,16.3,21.0,22.8,20.4,19.9,0,38
i5,30,17.4,18.2,18.5,17.6,22.2,23.4,22.5,20.5,1,30
i6,30,20.0,19.5,21.1,19.4,24.9,24.7,25.4,23.9,0,35
i0,31,8.1,7.4,8.2,7.8,10.1,8.6,11.9,10.3,0,20
i1,31,9.5,10.0,10.1,10.4,12.3,12.3,13.3,12.2,0,35
i2,31,10.8,10.3,11.7,11.9,13.8,12.9,14.9,14.0,1,24
i3,31,14.0,14.3,14.1,14.4,17.1,18.8,18.0,19.4,1,0
i4,31,16.2,16.3,16.6,15.7,20.4,20.1,21.5,20.1,0,39
i5,31,18.1,19.6,18.8,17.4,23.6,26.2,22.1,21.5,1,31
i6,31,20.2,21.4,22.5,20.0,25.5,26.2,29.3,25.5,0,36
i0,32,8.4,8.0,8.2,8.6,11.3,10.6,10.2,10.2,0,21
i1,32,9.9,10.2,10.2,12.2,13.0,12.0,13.9,14.6,0,36
i2,32,11.6,11.3,12.5,12.6,14.9,13.8,16.4,13.6,1,25
i3,32,14.7,14.6,14.4,14.8,18.7,19.2,17.6,19.6,1,1
i4,32,16.7,16.4,18.7,16.2,21.7,20.5,23.5,21.0,1,0
i5,32,18.3,20.0,18.1,18.2,22.3,24.9,22.3,22.8,1,32
i6,32,21.3,23.1,22.3,20.0,27.0,28.8,28.2,25.2,0,37
i0,33,8.8,8.1,9.0,9.6,11.4,8.9,11.2,11.3,0,22
i1,33,10.7,11.8,10.3,12.8,12.5,15.3,13.4,15.9,0,37
i2,33,12.7,12.6,11.7,12.9,16.2,15.1,15.1,16.5,1,26
i3,33,15.6,14.7,15.2,15.4,19.5,17.8,17.6,19.6,1,2
i4,33,17.6,16.3,20.1,17.4,21.4,19.5,25.0,23.2,1,1
i5,33,19.4,20.4,20.6,18.9,25.1,25.7,26.3,24.5,1,33
i6,33,21.3,23.6,22.8,21.3,26.8,29.4,28.1,26.2,0,38
i0,34,9.9,8.7,9.8,11.4,11.3,10.7,12.7,12.9,0,23
i1,34,11.7,12.2,10.2,12.3,14.9,15.9,13.1,17.0,0,38
i2,34,13.2,13.7,10.4,13.6,16.2,16.6,13.7,15.4,1,27
i3,34,18.0,16.8,15.4,15.4,23.0,22.0,19.7,18.1,1,3
i4,34,18.3,15.7,19.3,20.2,23.6,19.0,23.8,26.1,1,2
i5,34,20.7,21.7,21.9,20.2,25.5,25.4,27.8,24.7,1,34
i6,34,22.3,23.4,22.2,22.0,28.6,29.0,28.3,27.9,0,39
i0,35,10.7,9.7,10.5,13.2,12.7,10.4,13.3,15.9,0,24
i1,35,11.7,13.1,12.1,12.9,12.6,18.0,15.3,16.1,0,39
i2,35,12.5,14.4,10.6,15.3,15.8,20.3,14.1,20.6,1,28
i3,35,19.0,15.7,16.1,16.4,23.7,20.0,20.9,20.5,1,4
i4,35,17.3,17.0,19.9,21.1,22.4,20.4,24.7,25.9,1,3
i5,35,22.4,22.3,22.1,21.6,27.9,26.9,27.9,26.8,1,35
i6,35,21.7,23.3,22.6,22.3,27.6,29.4,28.7,29.0,1,0
i0,36,10.0,10.8,11.1,11.7,12.9,14.1,13.3,14.9,0,25
i1,36,11.3,13.4,13.1,14.3,13.8,17.5,15.2,18.0,1,0
i2,36,14.4,16.4,12.5,16.2,18.1,21.1,16.9,20.8,1,29
i3,36,18.6,17.0,17.2,16.0,23.6,20.5,19.9,19.6,1,5
i4,36,17.9,18.2,20.2,20.4,22.8,21.6,25.0,25.2,1,4
i5,36,22.1,23.2,22.1,21.8,25.1,30.1,26.6,26.2,1,36
i6,36,23.5,23.4,23.0,23.0,27.8,29.7,29.0,27.7,1,1
i0,37,10.3,11.3,10.5,12.2,12.5,14.0,12.9,16.2,0,26
i1,37,12.5,13.8,13.3,14.6,14.7,16.5,18.3,18.7,1,1
i2,37,15.4,15.2,13.8,16.1,19.1,19.9,17.1,19.8,1,30
i3,37,18.7,18.0,17.6,17.0,23.6,23.0,22.6,20.1,1,6
i4,37,17.9,18.8,21.2,20.6,23.4,22.2,27.0,25.8,1,5
i5,37,21.7,23.8,22.4,23.2,26.0,29.7,28.1,29.1,1,37
i6,37,23.8,24.9,22.6,24.6,29.7,29.9,28.1,31.5,1,2
i0,38,12.0,12.2,10.2,13.0,16.4,15.4,12.8,16.1,0,27
i1,38,13.2,14.0,14.8,15.8,16.0,16.8,18.0,20.3,1,2
i2,38,16.7,14.6,15.0,15.9,21.3,17.6,18.1,19.0,1,31
i3,38,19.3,20.3,16.9,18.8,24.7,25.0,21.9,24.6,1,7
i4,38,19.1,19.2,20.4,20.1,24.5,24.0,24.8,25.5,1,6
i5,38,23.0,23.3,22.2,22.4,29.7,28.5,26.2,27.9,1,38
i6,38,23.1,24.8,23.4,23.6,29.4,32.1,29.1,29.8,1,3
i0,39,12.9,13.4,11.5,14.1,14.5,17.0,12.7,16.7,0,28
i1,39,15.1,13.7,15.1,16.8,19.2,17.5,18.0,21.6,1,3
i2,39,17.1,16.3,15.4,16.2,21.3,20.3,19.1,21.6,1,32
i3,39,20.8,19.8,18.8,18.6,26.8,24.6,24.0,23.4,1,8
i4,39,20.2,20.9,22.1,20.3,25.0,25.4,28.2,25.9,1,7
i5,39,22.7,23.0,23.3,22.1,30.4,27.0,28.2,29.1,1,39
i6,39,23.4,24.7,23.4,23.2,29.1,29.8,29.6,29.7,1,4
i0,40,13.1,13.6,12.2,14.7,16.3,16.9,14.9,17.6,0,29
i1,40,15.6,14.3,14.5,17.3,19.2,17.3,17.8,21.4,1,4
i2,40,17.5,16.8,16.8,17.5,21.8,22.0,21.4,23.1,1,33
i3,40,21.0,19.9,19.5,19.9,27.5,24.0,24.2,24.5,1,9
i4,40,21.7,21.2,22.8,21.3,26.8,26.6,28.6,26.8,1,8
i5,40,23.8,23.9,24.5,23.5,29.5,29.5,30.1,30.0,0,0
i6,40,22.0,25.4,24.1,23.4,26.3,32.8,30.5,28.1,1,5
i0,41,13.4,13.8,13.1,14.8,17.1,16.1,16.7,19.2,0,30
i1,41,16.1,13.8,15.4,17.2,19.9,17.4,19.2,22.2,1,5
i2,41,17.1,16.9,16.1,17.5,20.1,20.9,21.1,22.5,1,34
i3,41,21.7,19.7,19.7,20.5,26.8,24.3,25.5,24.4,1,10
i4,41,22.1,21.6,23.0,22.8,27.1,27.3,27.4,28.9,1,9
i5,41,23.5,23.8,23.7,24.2,29.4,29.7,30.5,30.8,0,1
i6,41,21.8,24.5,22.2,23.4,27.4,31.5,26.7,28.8,1,6
i0,42,13.6,14.0,13.4,15.6,17.6,17.4,15.5,19.3,0,31
i1,42,16.8,16.0,15.7,16.9,21.7,19.7,18.3,21.5,1,6
i2,42,17.7,17.8,16.9,17.7,21.0,20.6,21.7,22.8,1,35
i3,42,21.6,20.6,20.0,21.0,25.9,25.1,25.5,26.8,1,11
i4,42,21.2,21.8,23.7,22.5,28.6,26.8,29.2,28.2,1,10
i5,42,23.5,23.2,22.3,22.4,29.0,28.6,27.4,27.5,0,2
i6,42,22.6,24.5,22.7,22.7,28.8,31.1,27.3,28.5,1,7
i0,43,13.6,13.5,15.2,15.2,17.4,16.9,18.7,18.5,0,32
i1,43,16.8,17.0,15.9,18.1,22.4,21.5,21.2,23.6,1,7
i2,43,17.3,17.9,19.1,18.2,20.7,20.8,22.4,24.1,1,36
i3,43,22.0,21.0,21.5,20.3,28.3,24.7,26.6,24.3,1,12
i4,43,21.1,21.2,23.8,23.8,26.6,27.0,29.0,29.7,1,11
i5,43,23.4,24.2,23.2,22.3,29.7,30.8,30.8,28.5,0,3
i6,43,21.6,23.5,23.0,22.9,27.1,29.7,27.9,28.6,1,8
i0,44,14.4,15.0,16.0,16.8,15.3,18.2,21.0,19.0,0,33
i1,44,17.9,17.2,15.8,18.6,21.6,23.1,20.5,23.0,1,8
i2,44,18.0,18.9,20.0,19.0,22.9,23.3,23.1,23.6,1,37
i3,44,23.9,21.4,22.7,19.9,29.5,26.9,27.2,24.6,1,13
i4,44,22.3,20.3,23.4,23.6,28.1,25.5,29.5,28.5,1,12
i5,44,22.9,24.5,22.5,23.2,27.5,30.4,27.1,28.1,0,4
i6,44,20.8,24.5,23.9,22.9,26.1,29.8,28.9,29.3,1,9
i0,45,15.0,16.4,15.8,17.1,18.0,18.9,20.1,20.1,0,34
i1,45,18.8,17.2,17.0,18.1,24.1,21.3,21.2,20.9,1,9
i2,45,19.4,18.9,21.0,19.6,24.8,24.9,27.2,23.2,1,38
i3,45,23.9,21.6,23.0,21.8,29.2,27.1,29.6,28.1,1,14
i4,45,23.6,21.2,23.2,24.2,28.8,26.2,28.7,31.0,1,13
i5,45,23.2,25.1,22.5,24.3,29.6,30.8,27.7,30.9,0,5
i6,45,20.8,22.4,23.1,22.2,26.2,27.8,29.0,27.8,1,10
i0,46,15.8,16.3,15.1,16.7,20.7,20.4,19.0,20.1,0,35
i1,46,20.3,17.5,17.6,18.8,24.6,20.6,22.4,22.5,1,10
i2,46,21.1,19.8,21.6,20.7,25.6,24.8,27.2,26.8,1,39
i3,46,24.2,22.4,23.0,22.0,32.4,28.6,28.2,28.6,1,15
i4,46,22.8,21.7,23.0,23.4,27.6,25.9,28.0,29.2,1,14
i5,46,23.0,24.9,22.2,23.1,29.1,31.5,28.8,29.4,0,6
i6,46,21.4,22.5,23.1,21.3,25.8,28.2,29.0,27.1,1,11
i0,47,16.6,17.7,17.2,18.0,21.3,22.3,22.4,24.3,0,36
i1,47,19.6,19.1,17.9,20.0,26.1,23.8,23.1,26.3,1,11
i2,47,20.4,20.4,21.3,20.7,24.5,25.8,26.7,26.7,0,0
i3,47,24.4,22.4,23.1,23.1,30.3,27.9,29.1,27.9,1,16
i4,47,23.8,23.2,22.4,22.7,29.0,28.9,28.9,28.6,1,15
i5,47,24.0,23.6,21.2,22.0,30.4,29.7,25.9,27.6,0,7
i6,47,21.1,21.9,23.5,20.5,26.4,27.4,28.7,24.6,1,12
i0,48,17.8,19.2,19.0,18.4,22.1,25.2,23.8,22.2,0,37
i1,48,19.5,20.0,19.4,20.8,24.2,23.4,23.5,24.9,1,12
i2,48,20.9,21.6,21.8,20.5,26.0,26.5,27.3,25.6,0,1
